date,loblaw_price,loblaw_volume,metro_price,metro_volume,empa_price,empa_volume,gwl_price,gwl_volume,atd_price,atd_volume,tsx_price,tsx_volume,sp500_price,sp500_volume,BCPI,CPI,bank_interest,CEER,trend_grocery_store,trend_loblaws,trend_stock
1999-12-20,,,,,,,,,,,,,,,,,,100.04,,,
1999-12-21,,,,,,,,,,,,,,,,,,100.01,,,
1999-12-22,,,,,,,,,,,,,,,,,,100.11,,,
1999-12-23,,,,,,,,,,,,,,,,,,100.25,,,
1999-12-24,,,,,,,,,,,,,,,,,,100.8,,,
1999-12-27,,,,,,,,,,,,,,,,,,100.8,,,
1999-12-28,,,,,,,,,,,,,,,,,,100.8,,,
1999-12-29,,,,,,,,,,,,,,,,,,102.09,,,
1999-12-30,,,,,,,,,,,,,,,,,,101.93,,,
1999-12-31,,,,,,,,,,,,,,,,,,102.55,,,
2000-01-01,,,,,,,,,,,,,,,,93.5,,,,,
2000-01-03,,,1.345,0.0,2.0835,0.0,,,0.2819,0.0,8413.7998,0.0,1455.22,931800000.0,,,,102.55,,,
2000-01-04,19.4276,206500.0,1.2985,408600.0,2.0291,29580.0,36.0663,42300.0,0.2785,4378560.0,8202.5996,59509800.0,1399.42,1009000000.0,,,,101.67,,,
2000-01-05,19.0556,745400.0,1.2842,1126200.0,1.9929,242082.0,35.1951,144500.0,0.2785,369600.0,8119.3999,94545700.0,1402.11,1085500000.0,284.9,,6.5,101.83,,,
2000-01-06,18.6264,186100.0,1.2591,1123200.0,2.0291,69780.0,33.4528,69500.0,0.2771,228000.0,8114.2002,79690100.0,1403.45,1092300000.0,,,,101.58,,,
2000-01-07,18.3689,215900.0,1.2591,400200.0,2.011,39300.0,34.2543,47800.0,0.2771,445200.0,8429.4004,87693100.0,1441.47,1225200000.0,,,,101.37,,,
2000-01-10,18.3117,344400.0,1.2377,742200.0,2.0581,318840.0,34.6376,72400.0,0.2751,233184.0,8602.5,83317000.0,1457.6,1064800000.0,,,,101.61,,,
2000-01-11,18.3689,257700.0,1.2591,442800.0,2.0291,193278.0,34.1497,47200.0,0.2757,2494224.0,8442.5996,87836900.0,1438.5601,1014000000.0,,,,101.57,,,
