ticker,exchange,name,market_value,sector,date_of_listing
CFW,TSX,Calfrac Well Services Ltd.,227125733,Industrial Products & Services,1960-04-08
CGY,TSX,Calian Group Ltd.,270202928,Technology,1993-09-15
CCO,TSX,Cameco Corporation,4622917510,Mining,1991-07-04
CAR,TSX,Canadian Apartment Properties Real Estate Investment Trust,8557770183,Real Estate,1997-05-21
CGI,TSX,Canadian General Investments Limited,574682938,Closed-End Funds,1962-08-07
CM,TSX,Canadian Imperial Bank Of Commerce,48065887684,Financial Services,1961-06-02
CNR,TSX,Canadian National Railway Company,88357737368,Industrial Products & Services,1995-11-17
CNQ,TSX,Canadian Natural Resources Limited,37806785764,Oil & Gas,1976-05-14
CP,TSX,Canadian Pacific Railway Limited,44580973622,Industrial Products & Services,2001-10-03
CTC,TSX,Canadian Tire Corporation Limited,8551778950,Consumer Products & Services,1945-01-02
CU,TSX,Canadian Utilities Limited,11704145268,Utilities & Pipelines,1946-03-12
CWB,TSX,Canadian Western Bank,3122125756,Financial Services,1984-05-14
CCM,TSX,Canarc Resource Corp.,16945950,Mining,1994-11-03
CFP,TSX,Canfor Corporation,1918361208,Industrial Products & Services,1984-10-03
ICE,TSX,Canlan Ice Sports Corp.,65351295,Real Estate,1990-03-01
EIT,TSX,Canoe EIT Income Fund,1438740912,Closed-End Funds,1997-08-06
CUP,TSX,"Caribbean Utilities Company, Ltd.",550417197,Utilities & Pipelines,1990-09-10
CAS,TSX,Cascades Inc.,1056429201,Clean Technology,1984-10-16
CET,TSX,Cathedral Energy Services Ltd.,13356392,Industrial Products & Services,1987-09-25
CCL,TSX,CCL Industries Inc.,10757035646,Industrial Products & Services,1980-06-27
CLS,TSX,Celestica Inc.,948869122,Technology,1998-07-07
GIB,TSX,CGI Inc.,25112574464,Technology,1992-04-21
CSH,TSX,Chartwell Retirement Residences,3186087416,Real Estate,2003-11-13
CHE,TSX,Chemtrade Logistics Income Fund,1439919019,Industrial Products & Services,2001-07-17
CIX,TSX,CI Financial Corp.,4518812506,Financial Services,1994-06-20
CGX,TSX,Cineplex Inc.,1570664302,Comm & Media,2003-11-25
CVG,TSX,Clairvest Group Inc.,772870344,Financial Services,1987-05-06
CKI,TSX,Clarke Inc.,152869894,Industrial Products & Services,1998-03-16
CLR,TSX,Clearwater Seafoods Incorporated,368147512,Clean Technology,2002-07-30
CCA,TSX,Cogeco Communications Inc.,3536521219,Comm & Media,1993-07-05
CGO,TSX,Cogeco Inc.,1345456994,Comm & Media,1986-12-03
CIGI,TSX,Colliers International Group Inc.,3435668707,Real Estate,1993-06-22
CUF,TSX,Cominar Real Estate Investment Trust,2277404054,Real Estate,1998-05-21
CMG,TSX,Computer Modelling Group Ltd.,543136587,Technology,2003-10-20
CCS,TSX,Co-operators General Insurance Company,97440000,Financial Services,1997-06-10
CSW,TSX,Corby Spirit and Wine Limited,498002313,Consumer Products & Services,1969-02-03
CORV,TSX,Correvio Pharma Corp.,135860357,Life Sciences,2000-07-25
CJR,TSX,Corus Entertainment Inc.,1063767517,Comm & Media,1999-09-03
BCB,TSX,Cott Corporation,2259239114,Consumer Products & Services,1986-12-10
CPG,TSX,Crescent Point Energy Corp.,2298229429,Oil & Gas,2002-09-30
CR,TSX,Crew Energy Inc.,90601453,Oil & Gas,2003-09-08
DSG,TSX,Descartes Systems Group Inc. (The),3972427642,Technology,1998-01-21
DII,TSX,Dorel Industries Inc.,298971555,Consumer Products & Services,1990-07-12
D,TSX,Dream Office Real Estate Investment Trust,1544866126,Real Estate,1997-07-09
DC,TSX,Dundee Corporation,183849049,Financial Services,1991-10-30
DPM,TSX,Dundee Precious Metals Inc.,941013108,Mining,1983-11-01
ER,TSX,Eastmain Resources Inc.,42431515,Mining,1996-11-01
EVT,TSX,Economic Investment Trust Limited,578400105,Closed-End Funds,1928-04-03
ELF,TSX,E-L Financial Corporation Limited,3290637932,Financial Services,1969-01-07
ELD,TSX,Eldorado Gold Corporation,1943780311,Mining,1993-10-22
EFL,TSX,Electrovaya Inc.,20883261,Clean Technology,2000-11-10
EMA,TSX,Emera Incorporated,14538737245,Utilities & Pipelines,1999-01-06
EMP,TSX,Empire Company Limited,6368053135,Consumer Products & Services,1982-07-09
ENB,TSX,Enbridge Inc.,95367190656,Utilities & Pipelines,1953-02-15
ECA,TSX,Encana Corporation,7943490317,Oil & Gas,2001-10-03
